month,revenue_aed,revenue_target_aed,revenue_vs_target_pct,expenses_aed,expense_budget_aed,expense_budget_used_pct,net_profit_aed,net_profit_target_aed,collection_rate_pct,collection_rate_target_pct
2025-01,105250,125000,84.2,75375,82000,91.9,29875,38000,83.0,92
2025-02,143050,125000,114.4,66250,82000,80.8,76800,38000,91.9,92
2025-03,151250,140000,108.0,64750,92000,70.4,86500,43000,75.5,92
2025-04,121600,140000,86.9,66700,92000,72.5,54900,43000,89.9,92
2025-05,80650,125000,64.5,64825,82000,79.1,15825,38000,82.8,92
2025-06,79600,125000,63.7,76250,82000,93.0,3350,38000,79.6,92
2025-07,94100,115000,81.8,54475,75000,72.6,39625,35000,65.5,92
2025-08,115300,115000,100.3,54375,75000,72.5,60925,35000,94.0,92
2025-09,124650,125000,99.7,66900,82000,81.6,57750,38000,85.9,92
2025-10,105900,140000,75.6,68425,92000,74.4,37475,43000,100.0,92
2025-11,114350,140000,81.7,66725,92000,72.5,47625,43000,80.4,92
2025-12,76250,125000,61.0,66750,82000,81.4,9500,38000,88.7,92
