customer_id,customer_name,sector,emirate,relationship_type,signup_date,account_manager,status
CUST-001,Desert Pearl Clinics,Healthcare,Dubai,Retainer,2023-04-25,Aisha,Active
CUST-002,Al Noor Business Center,Business Services,Abu Dhabi,Project,2023-09-08,Omar,Active
CUST-003,Palm View Real Estate,Real Estate,Dubai,Retainer,2023-04-15,Aisha,Active
CUST-004,Gulf Star Trading,Trading,Sharjah,Project,2023-02-02,Aisha,Active
CUST-005,Marina Fit Studio,Fitness,Dubai,Retainer,2023-08-27,Aisha,Active
CUST-006,Blue Dhow Logistics,Logistics,Jebel Ali,Retainer,2024-03-05,Omar,Active
CUST-007,Ajman Modern School,Education,Ajman,Project,2023-10-12,Aisha,Active
CUST-008,Falcon Legal Advisors,Professional Services,Dubai,Retainer,2023-06-13,Khalid,Active
CUST-009,Oasis Cafe Group,Hospitality,Dubai,Project,2023-06-09,Omar,At Risk
CUST-010,Capital Dental Center,Healthcare,Abu Dhabi,Retainer,2023-12-11,Aisha,Active
CUST-011,Ras Al Khaimah Warehousing,Logistics,RAK,Project,2023-04-10,Nadia,Active
CUST-012,Mirdif Learning Hub,Education,Dubai,Retainer,2023-09-28,Aisha,Active
