month,revenue_target_aed,expense_budget_aed,net_profit_target_aed,collection_rate_target_pct,active_customers_target
2025-01,125000,82000,38000,92,9
2025-02,125000,82000,38000,92,9
2025-03,140000,92000,43000,92,9
2025-04,140000,92000,43000,92,9
2025-05,125000,82000,38000,92,9
2025-06,125000,82000,38000,92,9
2025-07,115000,75000,35000,92,9
2025-08,115000,75000,35000,92,9
2025-09,125000,82000,38000,92,9
2025-10,140000,92000,43000,92,9
2025-11,140000,92000,43000,92,9
2025-12,125000,82000,38000,92,9
